job,description,source,surface,durée d'apprentissage,hiérarchie,physicalité,secteur,revenu,catégorie
agriculteur,"Un agriculteur ou une agricultrice est une personne qui procède professionnellement ou non à la mise en culture de la terre ou à l'élevage d'animaux. L'agriculteur peut disposer de ses propres parcelles de terres. Il peut, en fonction de l'importance de leurs surfaces, employer des ouvriers agricoles que ce soit de façon permanente ou saisonnière.",https://fr.wikipedia.org/wiki/Agriculteur,haut,bas,travailleur,haut,primaire,bas,agriculture
agricultrice,"Un agriculteur ou une agricultrice est une personne qui procède professionnellement ou non à la mise en culture de la terre ou à l'élevage d'animaux. L'agriculteur peut disposer de ses propres parcelles de terres. Il peut, en fonction de l'importance de leurs surfaces, employer des ouvriers agricoles que ce soit de façon permanente ou saisonnière.",https://fr.wikipedia.org/wiki/Agriculteur,haut,bas,travailleur,haut,primaire,bas,agriculture
bucheron,,,haut,bas,travailleur,haut,primaire,bas,
carrier,Ouvrier travaillant dans une carrière pour l’extraction de matériaux de construction (pierres),https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,haut,bas,travailleur,haut,primaire,bas,
cultivateur,,,haut,bas,travailleur,haut,primaire,bas,agriculture
fermier,,,haut,bas,travailleur,haut,primaire,bas,agriculture
forestier,,,haut,bas,travailleur,haut,primaire,bas,
jardinier,,,moyen,bas,travailleur,haut,primaire,bas,
journalier,Ouvrier se louant à la journée.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,bas,bas,travailleur,haut,primaire,bas,journalier
journailier,,,bas,bas,travailleur,haut,primaire,bas,journalier
journalier agricole,,,bas,bas,travailleur,haut,primaire,bas,agriculture
journalier et propriétaire,,,bas,bas,travailleur,haut,primaire,moyen,journalier
journalière,,,bas,bas,travailleur,haut,primaire,bas,journalier
laboureur,"Au minimum propriétaire d'animaux de labour, il se loue avec ses bêtes pour les travaux agricoles. au maximum propriétaire de terres qu'il cultive.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,haut,bas,travailleur,haut,primaire,bas,agriculture
lampiste,"Responsable de la distribution des lampes aux mineurs (chaque mineur avait sa propre lampe) ; Chargé de l’entretien, de la réparation voire de la fabrication des lampes de la gare (des bureaux, des quais, des trottoirs), le lampiste veille notamment au bon fonctionnement de la “lampe de queue”. cette lampe rouge,accrochée au wagon de queue, signale non seulement que le train est complet mais aussi, sert à l’aiguilleur du poste suivant à vérifier que des wagons ne se sont pas décrochés en cours de route.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,moyen,bas,travailleur,haut,primaire,bas,
machiniste,"Ouvrier qui est responsable de la cage, avec le receveur. Métier dans les mines.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,bas,bas,travailleur,haut,primaire,bas,
meunier,,,moyen,bas,travailleur,haut,primaire,bas,agriculture
pêcheur,"personne capturant des poissons ou coquillages, à bord d'un bateau",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,haut,bas,travailleur,haut,primaire,bas,
vigneron,,,haut,moyen,travailleur,haut,primaire,bas,agriculture
vigneronne,,,haut,moyen,travailleur,haut,primaire,bas,agriculture
garde champêtre,,,haut,bas,travailleur,bas,primaire,bas,
garde forestier,,,haut,bas,travailleur,haut,primaire,bas,
ajusteur,Un ajusteur est un ouvrier dont le métier est l'ajustage de pièces mécaniques,https://fr.wikipedia.org/wiki/Ajusteur,moyen,bas,travailleur,haut,secondaire,bas,industrie
amidonnier,Fabricant d'amidon et de creton (résidus des suifs).,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres?name-directory-search-value=amidonnier&dir=7#name_directory_position7,moyen,bas,travailleur,haut,secondaire,bas,alimentation
ancien mécanicien,mécanicien,,moyen,moyen,travailleur,haut,secondaire,bas,industrie
architecte,,,haut,haut,chef,bas,secondaire,haut,bâtiment
ardoisier,Couvreur en ardoises.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,moyen,moyen,travailleur,haut,secondaire,bas,bâtiment
armurier,"Celui qui fabrique, vend ou entretient des armes.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres?name-directory-search-value=armurier&dir=7#name_directory_position7,moyen,moyen,travailleur,bas,secondaire,moyen,artisanat
boisselier,"Fabriquant de boisseaux (mesure de capacité pour les matières sèches : 12,5 litres) et autres ustensiles en bois : seaux, gobelets.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,moyen,moyen,travailleur,haut,secondaire,moyen,artisanat
bottier,le bottier confectionne à la main des souliers sur mesure,https://www.onisep.fr/ressources/univers-metier/metiers/bottier-bottiere,moyen,moyen,travailleur,bas,secondaire,moyen,cuir et textile
boucher,,,moyen,bas,travailleur,haut,secondaire,moyen,alimentation
boulanger,,,moyen,bas,travailleur,haut,secondaire,bas,alimentation
boulangère,,,moyen,bas,travailleur,haut,secondaire,bas,alimentation
brasseur,,,moyen,moyen,travailleur,haut,secondaire,bas,alimentation
carossier,,,moyen,moyen,travailleur,haut,secondaire,moyen,industrie
chamoiseur,Ouvrier qui apprête les peaux de chamois ou qui donne à d'autres peaux leur façon.,https://www.cnrtl.fr/definition/chamoiseur,moyen,moyen,travailleur,haut,secondaire,bas,cuir et textile
chapelier,Fabricant de chapeaux,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,moyen,moyen,travailleur,haut,secondaire,moyen,cuir et textile
charcutier,,,moyen,bas,travailleur,haut,secondaire,moyen,alimentation
charcutière,,,moyen,bas,travailleur,haut,secondaire,moyen,alimentation
chargeur,"Dans une aciérie, ouvrier qui remplit le haut-fourneau de minerai, de charbon de bois et de castine.",https://www.vieuxmetiers.org/,moyen,bas,travailleur,haut,secondaire,bas,industrie
charpentier,,,haut,moyen,travailleur,haut,secondaire,moyen,bâtiment
charpentier menuisier,,,moyen,moyen,travailleur,haut,secondaire,moyen,bâtiment
charretier,Fabricant de charrettes,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,moyen,bas,travailleur,haut,secondaire,bas,artisanat
charron,"Le charron, ou maître charron, est un artisan spécialiste du bois et du métal. Il conçoit, fabrique, entretient ou adapte, répare les véhicules avant la motorisation, parmi lesquels les voitures communes de transport ou de charge et les engins agricoles et artisanaux",https://fr.wikipedia.org/wiki/Charron_(m%C3%A9tier),moyen,moyen,travailleur,haut,secondaire,bas,artisanat
chaudronnier,Artisan qui fabrique et vend des ustensiles de chaudronnerie.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,moyen,moyen,travailleur,haut,secondaire,bas,artisanat
chiffonnier,Tisserand.,https://www.vieuxmetiers.org/,moyen,moyen,travailleur,bas,secondaire,moyen,cuir et textile
chimiste,,,moyen,haut,travailleur,bas,secondaire,haut,industrie
chocolatier,,,moyen,moyen,travailleur,bas,secondaire,moyen,alimentation
cloutier,Fabriquant de clous,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,bas,bas,travailleur,haut,secondaire,bas,artisanat
confiseur,,,moyen,bas,travailleur,haut,secondaire,bas,alimentation
cordier,Fabricant de cordes. Voir aussi Boulinier.,vieuxmetiers.org,moyen,bas,travailleur,bas,secondaire,bas,artisanat
cordonnier,,,bas,moyen,travailleur,haut,secondaire,bas,cuir et textile
