Index;Word
1;agent d'affaires
2;agri
3;agriculteur
4;apprentier
5;architecte
6;armurier
7;ase
8;assesseur
9;aubergiste
10;auclier
11;avocat
12;banquier
13;barbier
14;batelier
15;blanchisseuse
16;boucher
17;boulanger
18;bucheron
19;carrier
20;casernier
21;chapelier
22;chargeur
23;charpentier
24;charretier
25;chaudronnier
26;chirurgien
27;cloutier
28;coiffeur
29;commis
30;commis négociant
31;commissaire
32;conducteur de diligences
33;confiseur
34;cordonnier
35;couturiere
36;couvreur
37;cuisinière
38;cultivateur
39;directeur de poste
40;docteur en droit
41;domestique
42;emailleur
43;employé
44;employé postal
45;entrepreneur
46;epicier
47;fabricant
48;fabricant de coton
49;facteur
50;faitier
51;fardonnier
52;ferblantier
53;fermier
54;fileur
55;fondeur
56;forestier
57;friseur
58;fûtier
59;gagne-denier
60;gantier
61;garde
62;garde forestier
63;gociant
64;graveur
65;greffier
66;gypsier
67;horloger
68;huissier
69;huissier du conseil d’État
70;imprimeur
71;inspecteur
72;instituteur
73;institutrice
74;intrejuilier
75;jardinier
76;jormentier
77;journalier
78;journalière
79;juge d'appel
80;juge de District
81;laboureur
82;laitier
83;lampiste
84;libraire
85;locataire
86;manoeuvre
87;manœuvre
88;marbrier
89;marchand
90;marchand ambulant
91;marchand de coton
92;marchand de musique
93;marchand de vin
94;marchand épicier
95;marchande
96;maréchal
97;maréchal ferrant
98;maçon
99;maîtresse d'école
100;medecin
101;menuisier
102;meunier
103;ministre
104;modiste
105;mécanicien
106;notaire
107;négociant
108;orfèvre
109;ouvrier en papier peint
110;ouvrier papetier
111;ouvrier potier
112;ouvrier voilier
113;ouvrière
114;pasteur
115;peintre
116;perruquier
117;pharmacien
118;pintier
119;porte-piano
120;potier de terre
121;poêlier
122;prefêt
123;procureur
124;professeur
125;propriétaire
126;propriétaire et négociant
127;propriétaire et rentier
128;pêcheur
129;regent
130;relieur imprimeur
131;rentier
132;rentiere
133;repasseuse
134;sage femme
135;sans profession
136;secrétaire
137;secrétaire au
138;serrurier
139;sonneur
140;tailleur
141;tailleur de pierre
142;tailleuse
143;tapissier
144;tapissière
145;teinturier
146;tisserand
147;tonnelier
148;tourneur
149;traiteur
150;treillisseur
151;tuilier
152;tuteur
153;vallendier
154;vendeur de vin
155;vigneron
156;vigneronne
157;voiturier
158;écrivain
159;émouleur
160;épicier
